customer_id,name,email,country,total_amount,created_at
CUST-0001,Customer 01,customer01@example.com,DE,50.02,2024-02-01 00:00:00
CUST-0002,Customer 02,customer02@example.com,NL,489.78,2024-02-02 00:00:00
CUST-0003,Customer 03,customer03@example.com,FR,1472.94,2024-02-03 00:00:00
CUST-0004,Customer 04,customer04@example.com,DE,1180.99,2024-02-04 00:00:00
CUST-0005,Customer 05,customer05@example.com,US,59.59,2024-02-05 00:00:00
CUST-0006,Customer 06,customer06@example.com,GB,465.32,2024-02-06 00:00:00
CUST-0007,Customer 07,customer07@example.com,US,1122.49,2024-02-07 00:00:00
CUST-0008,Customer 08,customer08@example.com,JP,440.88,2024-02-08 00:00:00
CUST-0009,Customer 09,customer09@example.com,NL,1618.86,2024-02-09 00:00:00
CUST-0010,Customer 10,customer10@example.com,US,1517.61,2024-02-10 00:00:00
CUST-0011,Customer 11,customer11@example.com,FR,1396.28,2024-02-11 00:00:00
CUST-0012,Customer 12,customer12@example.com,SE,555.74,2024-02-12 00:00:00
CUST-0013,Customer 13,customer13@example.com,GB,1914.43,2024-02-13 00:00:00
CUST-0014,Customer 14,customer14@example.com,SE,204.42,2024-02-14 00:00:00
CUST-0015,Customer 15,customer15@example.com,JP,193.43,2024-02-15 00:00:00
CUST-0016,Customer 16,customer16@example.com,SE,1207.45,2024-02-16 00:00:00
CUST-0017,Customer 17,customer17@example.com,US,1459.46,2024-02-17 00:00:00
CUST-0018,Customer 18,customer18@example.com,DE,1946.23,2024-02-18 00:00:00
CUST-0019,Customer 19,customer19@example.com,JP,157.6,2024-02-19 00:00:00
CUST-0020,Customer 20,customer20@example.com,NL,1658.81,2024-02-20 00:00:00
CUST-0021,Customer 21,customer21@example.com,SE,1154.7,2024-02-21 00:00:00
CUST-0022,Customer 22,customer22@example.com,DE,91.65,2024-02-22 00:00:00
CUST-0023,Customer 23,customer23@example.com,GB,1546.14,2024-02-23 00:00:00
CUST-0024,Customer 24,customer24@example.com,DE,1710.64,2024-02-24 00:00:00
CUST-0025,Customer 25,customer25@example.com,DE,760.25,2024-02-25 00:00:00
CUST-0026,Customer 26,customer26@example.com,BR,1271.37,2024-02-26 00:00:00
CUST-0027,Customer 27,customer27@example.com,SE,325.31,2024-02-27 00:00:00
CUST-0028,Customer 28,customer28@example.com,SE,419.01,2024-02-28 00:00:00
CUST-0029,Customer 29,customer29@example.com,NL,1403.64,2024-02-29 00:00:00
CUST-0030,Customer 30,customer30@example.com,DE,1218.26,2024-03-01 00:00:00
CUST-0031,Customer 31,customer31@example.com,FR,1068.28,2024-03-02 00:00:00
CUST-0032,Customer 32,customer32@example.com,GB,326.8,2024-03-03 00:00:00
CUST-0033,Customer 33,customer33@example.com,JP,539.9,2024-03-04 00:00:00
CUST-0034,Customer 34,customer34@example.com,GB,1369.23,2024-03-05 00:00:00
CUST-0035,Customer 35,customer35@example.com,US,458.1,2024-03-06 00:00:00
CUST-0036,Customer 36,customer36@example.com,US,1610.09,2024-03-07 00:00:00
CUST-0037,Customer 37,customer37@example.com,JP,535.48,2024-03-08 00:00:00
CUST-0038,Customer 38,customer38@example.com,GB,1826.27,2024-03-09 00:00:00
CUST-0039,Customer 39,customer39@example.com,SE,425.25,2024-03-10 00:00:00
CUST-0040,Customer 40,customer40@example.com,BR,791.26,2024-03-11 00:00:00
